mode,n_features,layers,learning_rate,epochs,batch_size,rmse_percentual_train,mape_train,rmse_percentual_test,mape_test,processing_time
Calendar,1,"[50, 50]",1e-05,5,256,39.403904392374166,35.55773726949381,47.29581529792096,44.963390354368855,3.0702444000635296
Calendar,1,"[50, 50]",5e-05,5,256,14.718307268162258,11.63078636417337,23.263417425729628,20.096361079970745,3.0186842000111938
Calendar,1,"[50, 50]",0.0001,5,256,12.670357511284486,10.417052863095403,18.08400265559411,14.817425440163134,3.0587725000223145
Calendar,1,"[50, 50]",0.0005,5,256,12.449559693875804,10.356470153954774,17.578197670486958,14.144810941604085,2.9337600999278948
Calendar,1,"[50, 50]",1e-05,5,512,41.1436653721287,37.40234047828987,48.8314566105494,46.540990517253206,3.0529516000533476
Calendar,1,"[50, 50]",5e-05,5,512,30.83218210526922,26.623976984685495,39.67958623126855,37.2480860892451,2.670120600028895
Calendar,1,"[50, 50]",0.0001,5,512,14.080721894466144,11.165357505736033,22.285475493838046,19.037151357943653,2.633837000001222
Calendar,1,"[50, 50]",0.0005,5,512,12.494772616984479,10.377941824290986,17.565282350446108,14.158999118877894,2.6981240999884903
Calendar,1,"[50, 50]",1e-05,5,1024,42.295881013929964,38.568813031353656,49.838025407923816,47.53947879625643,2.3326570000499487
Calendar,1,"[50, 50]",5e-05,5,1024,38.05339144174856,34.1865972816717,46.11111811267803,43.787959723001265,2.8316378999734297
Calendar,1,"[50, 50]",0.0001,5,1024,29.8899001111424,25.680755985302024,38.83675582620293,36.41574208907367,2.47552709991578
Calendar,1,"[50, 50]",0.0005,5,1024,12.615249003621376,10.387208033607203,17.97855805086416,14.702384187054124,2.4561998000135645
Calendar,1,"[50, 50]",1e-05,5,2048,42.60996403661399,38.914445290872656,50.116610219365015,47.83449942295433,2.0538377000484616
Calendar,1,"[50, 50]",5e-05,5,2048,40.22126557319867,36.468197255013834,48.02441097892505,45.74133813140398,1.9853795999661088
Calendar,1,"[50, 50]",0.0001,5,2048,38.175793143387864,34.28154739578628,46.2138160751738,43.86991323027428,1.9921244999859482
Calendar,1,"[50, 50]",0.0005,5,2048,12.694081196735265,10.489145000592735,17.412101861871516,14.18293824054215,2.4065414000069723
Calendar,1,"[50, 50]",1e-05,10,256,34.450814394934234,30.416819481524954,42.918693016957114,40.54722158206851,4.822175600100309
Calendar,1,"[50, 50]",5e-05,10,256,12.619303484826888,10.391565542405917,17.986988748983745,14.693195710424007,4.888059299904853
Calendar,1,"[50, 50]",0.0001,10,256,12.494670938984175,10.34842018596079,17.778883218256418,14.382627802047868,4.400542800081894
Calendar,1,"[50, 50]",0.0005,10,256,12.38248190015762,10.318152899316557,17.317930282278525,13.959942847197038,4.438675199984573
Calendar,1,"[50, 50]",1e-05,10,512,40.01094987603477,36.188765596226,47.8299376919851,45.503604372198275,4.143836900009774
Calendar,1,"[50, 50]",5e-05,10,512,14.108878997875356,11.221374498390363,22.261800927779873,19.059275090938492,4.061384600005113
Calendar,1,"[50, 50]",0.0001,10,512,12.69677361496611,10.42836241567011,18.169423897419225,14.910997068200423,4.1092941999668255
Calendar,1,"[50, 50]",0.0005,10,512,12.467495535033354,10.388325037402241,17.452244068337762,14.012758715760858,4.574404700077139
Calendar,1,"[50, 50]",1e-05,10,1024,41.28644835590257,37.520870968382226,48.95214056208211,46.64315259514711,3.316386300022714
Calendar,1,"[50, 50]",5e-05,10,1024,31.115449791289677,26.88294139853875,39.926814647386834,37.47415375345612,3.3034723000600934
Calendar,1,"[50, 50]",0.0001,10,1024,14.890442466756376,11.727113223347276,23.548638050659367,20.369385257789936,3.3062175000086427
Calendar,1,"[50, 50]",0.0005,10,1024,12.482159159095882,10.349155650880926,17.712970298002016,14.312280019103781,3.314137000008486
Calendar,1,"[50, 50]",1e-05,10,2048,41.674769488866694,37.989915488085515,49.30316980534406,47.042699784721705,2.6887023000745103
Calendar,1,"[50, 50]",5e-05,10,2048,37.79032807708676,33.903805576656865,45.87737895802068,43.54568178772914,2.5950812000082806
Calendar,1,"[50, 50]",0.0001,10,2048,31.830528878071505,27.615898296206883,40.56673384693887,38.1159730196454,2.6524415999883786
Calendar,1,"[50, 50]",0.0005,10,2048,12.596115764265893,10.384199780276193,17.93477972798381,14.613084061054602,2.59876369999256
Calendar,1,"[50, 50]",1e-05,15,256,27.727462767381848,23.376224261784156,36.85447085652341,34.33973239967348,5.920026200008579
Calendar,1,"[50, 50]",5e-05,15,256,12.550974293537042,10.364669512340956,17.86367075731968,14.516545916529788,5.883025799994357
Calendar,1,"[50, 50]",0.0001,15,256,12.484874932743693,10.382878600911301,17.576588038585804,14.136271081608628,5.882348999963142
Calendar,1,"[50, 50]",0.0005,15,256,12.169100526278152,10.125911442735292,17.19029136866986,14.047209889317955,5.805242799920961
Calendar,1,"[50, 50]",1e-05,15,512,37.07403188095457,33.10595634140315,45.23576092112328,42.86172045516533,5.249349000048824
Calendar,1,"[50, 50]",5e-05,15,512,12.819347308843362,10.498345979263366,18.4193049702065,15.20675883232228,5.271756900008768
Calendar,1,"[50, 50]",0.0001,15,512,12.567040353632017,10.371929882041691,17.886197881467904,14.54716500069521,5.409244899987243
Calendar,1,"[50, 50]",0.0005,15,512,12.409799395176432,10.321754851211065,17.54903588882994,14.14735741299703,5.273875599959865
Calendar,1,"[50, 50]",1e-05,15,1024,40.15820495634853,36.376904053856954,47.96499973055459,45.66380880708415,4.241136100026779
Calendar,1,"[50, 50]",5e-05,15,1024,22.308910721365304,18.016232623338688,31.773764997639116,29.105823096511475,4.228715799981728
Calendar,1,"[50, 50]",0.0001,15,1024,12.776459350812377,10.474601747405147,18.30529893878725,15.07519324207774,5.202350099920295
Calendar,1,"[50, 50]",0.0005,15,1024,12.466682246403856,10.345816257224625,17.790923862660296,14.342855056529247,4.398301500012167
Calendar,1,"[50, 50]",1e-05,15,2048,41.24657140152712,37.52758167966602,48.92455756557953,46.64771333929873,3.4045599999371916
Calendar,1,"[50, 50]",5e-05,15,2048,34.37486858363393,30.29924522530357,42.84400417205259,40.44563552574711,3.2527765999548137
Calendar,1,"[50, 50]",0.0001,15,2048,21.837610249110256,17.501365348501515,31.292012375506626,28.534299049100824,3.247902199975215
Calendar,1,"[50, 50]",0.0005,15,2048,12.511082596485306,10.35641150624279,17.75081522489567,14.37547390062814,3.258167100022547
Calendar,1,"[50, 50]",1e-05,20,256,21.83360680956734,17.544239377679872,31.30400202255759,28.59402491751159,7.4422920000506565
Calendar,1,"[50, 50]",5e-05,20,256,12.481331139293609,10.345461087444964,17.75213473596427,14.346487568614641,7.493155899923295
Calendar,1,"[50, 50]",0.0001,20,256,12.460969373269277,10.34543526234908,17.773129124445553,14.322005069328734,7.5816858999896795
Calendar,1,"[50, 50]",0.0005,20,256,12.037851891968044,9.991887808564602,17.284504970324544,14.340935458392396,7.85778889991343
Calendar,1,"[50, 50]",1e-05,20,512,33.662228457336425,29.583366431696962,42.21494657582173,39.827464772670396,7.3834469999419525
Calendar,1,"[50, 50]",5e-05,20,512,12.707205575718875,10.437676773093296,18.14208626198725,14.891302476379131,7.285765100037679
Calendar,1,"[50, 50]",0.0001,20,512,12.518777787590295,10.350959930436222,17.80196540823185,14.44507197611875,8.786622199928388
Calendar,1,"[50, 50]",0.0005,20,512,12.371218540749322,10.297360586148335,17.4136114450816,14.057057853760988,7.581024700077251
Calendar,1,"[50, 50]",1e-05,20,1024,39.210061115228854,35.385939952235326,47.13005275470747,44.81559396301814,6.611950400052592
Calendar,1,"[50, 50]",5e-05,20,1024,13.785130820323987,11.005824893529953,21.675452357183282,18.45061290736377,6.20863140001893
Calendar,1,"[50, 50]",0.0001,20,1024,12.719584761152676,10.444944889305592,18.167603829295917,14.909318456040724,6.329403099953197
Calendar,1,"[50, 50]",0.0005,20,1024,12.448204898759558,10.349186403284415,17.64009767923232,14.202212224953985,6.192845599958673
