mode,n_features,max_depth,learning_rate,n_estimators,rmse_percentual_train,mape_train,rmse_percentual_test,mape_test,processing_time
Calendar,1,6,1e-05,50,14.163504704612468,12.133698454951888,18.60555075861921,14.537901842519634,0.17317649989854544
Calendar,1,6,5e-05,50,14.153186062030207,12.123696500300444,18.599172881101378,14.5339936671245,0.06101569999009371
Calendar,1,6,0.0001,50,14.140363380562384,12.11125309755598,18.591259619925715,14.529151759054454,0.07299629994668067
Calendar,1,6,0.0005,50,14.039695439890307,12.013644051195445,18.52906703261565,14.491483204646155,0.08751680003479123
Calendar,1,6,1e-05,100,14.160963092893407,12.131234869248281,18.603942454276996,14.536909519220616,0.08344529999885708
Calendar,1,6,5e-05,100,14.14036023711473,12.111260638300049,18.591205441299483,14.52912014030601,0.09595160000026226
Calendar,1,6,0.0001,100,14.114892501800506,12.086555727263962,18.575532842303662,14.519575822764756,0.08264770009554923
Calendar,1,6,0.0005,100,13.91844774257437,11.896056232170734,18.454285234462162,14.446992797587807,0.08656159997917712
Calendar,1,6,1e-05,150,14.158422281133836,12.128772504705914,18.602334716162897,14.535918049597848,0.10210599994752556
Calendar,1,6,5e-05,150,14.127589949268465,12.098871959012596,18.583323455420157,14.524321960171335,0.10960640001576394
Calendar,1,6,0.0001,150,14.08962450654928,12.062055148857615,18.559878419681368,14.510069921223238,0.11405720002949238
Calendar,1,6,0.0005,150,13.802113055024437,11.78308932117368,18.382688929558192,14.405322884035025,0.11458910000510514
Calendar,1,6,1e-05,200,14.155882269764508,12.126311243325546,18.600727544423727,14.53492778712164,0.12556179997045547
Calendar,1,6,5e-05,200,14.114864100449632,12.086529490649987,18.57547581887229,14.519557672659907,0.11816040007397532
Calendar,1,6,0.0001,200,14.064575476094024,12.037759189074118,18.544429948746856,14.500741809957574,0.13299129996448755
Calendar,1,6,0.0005,200,13.690535066602783,11.674790916870183,18.314151499568187,14.366485573742475,0.12138800008688122
Calendar,1,8,1e-05,50,14.163434596404606,12.133628865068784,18.605520150402338,14.537873432395209,0.09260910004377365
Calendar,1,8,5e-05,50,14.153158754065585,12.123673347074176,18.59917608026883,14.533965827792509,0.0783778999466449
Calendar,1,8,0.0001,50,14.140311753219894,12.111215837747027,18.591236001531932,14.529074619475207,0.07286440010648221
Calendar,1,8,0.0005,50,14.039456489124307,12.013502501780385,18.528858973308722,14.491101119438229,0.06372049998026341
Calendar,1,8,1e-05,100,14.160822918354487,12.131095742072374,18.603881270339087,14.536852961353123,0.08597150002606213
Calendar,1,8,5e-05,100,14.140305643972331,12.11121486449112,18.591211882983803,14.529066036554235,0.0943031000206247
Calendar,1,8,0.0001,100,14.114805095513349,12.086509870401553,18.575437228944544,14.519384129253629,0.09280659991782159
Calendar,1,8,0.0005,100,13.917976227036144,11.895761877650255,18.45389661050997,14.446326028575665,0.08293089992366731
Calendar,1,8,1e-05,150,14.158212082175712,12.128563767586016,18.60224298901114,14.535833224636566,0.12310440000146627
Calendar,1,8,5e-05,150,14.12750809411911,12.098803701844773,18.583333182981757,14.52424159228072,0.10734350001439452
Calendar,1,8,0.0001,150,14.089472470774325,12.061956753971476,18.55976529826535,14.509820030303372,0.10370910004712641
Calendar,1,8,0.0005,150,13.801425248699484,11.782636815867116,18.382132753254655,14.404415531968173,0.11196979996748269
Calendar,1,8,1e-05,200,14.155602088334097,12.12603309417884,18.6006053065767,14.534815534378954,0.1273309999378398
Calendar,1,8,5e-05,200,14.114751373391046,12.086436222594827,18.575484068665247,14.519447140682914,0.1594708999618888
Calendar,1,8,0.0001,200,14.064391822079758,12.037654432565715,18.544257703060495,14.500415877721137,0.13328379997983575
Calendar,1,8,0.0005,200,13.689638849454893,11.67417445810658,18.31342347087137,14.36535929394478,0.13849990000016987
Calendar,1,10,1e-05,50,14.163434596404606,12.133628865068784,18.605520150402338,14.537873432395209,0.07043079996947199
Calendar,1,10,5e-05,50,14.153158754065585,12.123673347074176,18.59917608026883,14.533965827792509,0.07336689997464418
Calendar,1,10,0.0001,50,14.140311753219894,12.111215837747027,18.591236001531932,14.529074619475207,0.06391890009399503
Calendar,1,10,0.0005,50,14.039456489124307,12.013502501780385,18.528858973308722,14.491101119438229,0.07870569999795407
Calendar,1,10,1e-05,100,14.160822918354487,12.131095742072374,18.603881270339087,14.536852961353123,0.10641070001292974
Calendar,1,10,5e-05,100,14.140305643972331,12.11121486449112,18.591211882983803,14.529066036554235,0.09900710009969771
Calendar,1,10,0.0001,100,14.114805095513349,12.086509870401553,18.575437228944544,14.519384129253629,0.08792930003255606
Calendar,1,10,0.0005,100,13.917976227036144,11.895761877650255,18.45389661050997,14.446326028575665,0.09956950007472187
Calendar,1,10,1e-05,150,14.158212082175712,12.128563767586016,18.60224298901114,14.535833224636566,0.1099277000175789
Calendar,1,10,5e-05,150,14.12750809411911,12.098803701844773,18.583333182981757,14.52424159228072,0.13086649996694177
Calendar,1,10,0.0001,150,14.089472470774325,12.061956753971476,18.55976529826535,14.509820030303372,0.10677029995713383
Calendar,1,10,0.0005,150,13.801425248699484,11.782636815867116,18.382132753254655,14.404415531968173,0.11193339992314577
Calendar,1,10,1e-05,200,14.155602088334097,12.12603309417884,18.6006053065767,14.534815534378954,0.1310269000241533
Calendar,1,10,5e-05,200,14.114751373391046,12.086436222594827,18.575484068665247,14.519447140682914,0.13228759996127337
Calendar,1,10,0.0001,200,14.064391822079758,12.037654432565715,18.544257703060495,14.500415877721137,0.13518810004461557
Calendar,1,10,0.0005,200,13.689638849454893,11.67417445810658,18.31342347087137,14.36535929394478,0.1356101999990642
Calendar,1,12,1e-05,50,14.163434596404606,12.133628865068784,18.605520150402338,14.537873432395209,0.07607429998461157
Calendar,1,12,5e-05,50,14.153158754065585,12.123673347074176,18.59917608026883,14.533965827792509,0.0780205000191927
Calendar,1,12,0.0001,50,14.140311753219894,12.111215837747027,18.591236001531932,14.529074619475207,0.07479480002075434
Calendar,1,12,0.0005,50,14.039456489124307,12.013502501780385,18.528858973308722,14.491101119438229,0.08147109998390079
Calendar,1,12,1e-05,100,14.160822918354487,12.131095742072374,18.603881270339087,14.536852961353123,0.0940353999612853
Calendar,1,12,5e-05,100,14.140305643972331,12.11121486449112,18.591211882983803,14.529066036554235,0.09699759993236512
Calendar,1,12,0.0001,100,14.114805095513349,12.086509870401553,18.575437228944544,14.519384129253629,0.10247579996939749
Calendar,1,12,0.0005,100,13.917976227036144,11.895761877650255,18.45389661050997,14.446326028575665,0.10471770004369318
Calendar,1,12,1e-05,150,14.158212082175712,12.128563767586016,18.60224298901114,14.535833224636566,0.12403239996638149
Calendar,1,12,5e-05,150,14.12750809411911,12.098803701844773,18.583333182981757,14.52424159228072,0.11713980010244995
Calendar,1,12,0.0001,150,14.089472470774325,12.061956753971476,18.55976529826535,14.509820030303372,0.1179888000478968
Calendar,1,12,0.0005,150,13.801425248699484,11.782636815867116,18.382132753254655,14.404415531968173,0.12798880005721003
Calendar,1,12,1e-05,200,14.155602088334097,12.12603309417884,18.6006053065767,14.534815534378954,0.16065850004088134
Calendar,1,12,5e-05,200,14.114751373391046,12.086436222594827,18.575484068665247,14.519447140682914,0.12957090011332184
Calendar,1,12,0.0001,200,14.064391822079758,12.037654432565715,18.544257703060495,14.500415877721137,0.1344374999171123
Calendar,1,12,0.0005,200,13.689638849454893,11.67417445810658,18.31342347087137,14.36535929394478,0.12793980003334582
Calendar,2,6,1e-05,50,14.161849433655169,12.132214758421288,18.60450029446619,14.537105584246138,0.07483850000426173
Calendar,2,6,5e-05,50,14.145208400306698,12.116555521365784,18.59409564246386,14.530141410427294,0.08021349995397031
Calendar,2,6,0.0001,50,14.124386295179274,12.096943102148996,18.581122075079072,14.52153740075795,0.06955479993484914
Calendar,2,6,0.0005,50,13.96063830544592,11.942883036920717,18.47905377654692,14.454483687612818,0.07300470001064241
Calendar,2,6,1e-05,100,14.157655496618423,12.128271431780577,18.601841598892975,14.535318306634615,0.09317609993740916
Calendar,2,6,5e-05,100,14.124453555212812,12.097016555792424,18.581115630817266,14.521499502618711,0.08928169996943325
Calendar,2,6,0.0001,100,14.083026234783668,12.058019171964926,18.555304149313578,14.50442757819328,0.09814470005221665
Calendar,2,6,0.0005,100,13.762402212083094,11.756533506832115,18.35605094680744,14.375882836463777,0.09171430009882897
Calendar,2,6,1e-05,150,14.153465125445935,12.124332484583448,18.59918326955457,14.533530790556032,0.11838929995428771
Calendar,2,6,5e-05,150,14.103734734137241,12.077513864830022,18.568162515809753,14.512878273215858,0.11184819997288287
Calendar,2,6,0.0001,150,14.041944408849785,12.019367544454198,18.52969139473339,14.487581309550086,0.12147190002724528
Calendar,2,6,0.0005,150,13.57113711479032,11.576699342204032,18.2379591614726,14.3026524643033,0.12216949998401105
Calendar,2,6,1e-05,200,14.149275617628412,12.120394099233112,18.59652574119714,14.531749686909945,0.13008560007438064
Calendar,2,6,5e-05,200,14.083081838812225,12.058085000055382,18.55524922891634,14.504324147607575,0.1380576000083238
Calendar,2,6,0.0001,200,14.001177157157393,11.981014101200198,18.504289973583038,14.470936122539824,0.13577839999925345
Calendar,2,6,0.0005,200,13.386652795266683,11.403234474578944,18.124595412939744,14.234880816291806,0.13043879996985197
Calendar,2,8,1e-05,50,14.161840243047997,12.132202103117853,18.604537498410597,14.537130540836449,0.07392310001887381
Calendar,2,8,5e-05,50,14.145086456229704,12.116462302508552,18.594037695146053,14.530083676108976,0.08001010003499687
Calendar,2,8,0.0001,50,14.124189751957585,12.096822316471588,18.58099383580461,14.521372148851158,0.09827310009859502
Calendar,2,8,0.0005,50,13.959560999975393,11.94219087651785,18.478304093113756,14.453621128276053,0.0833750000456348
