mode,n_features,layers,learning_rate,epochs,batch_size,rmse_percentual_train,mape_train,rmse_percentual_test,mape_test,processing_time
Calendar,1,"[30, 30]",1e-05,5,256,51.40016860073828,43.84132330857888,50.709540809060826,42.75283153733348,3.0377555999994
Calendar,1,"[30, 30]",0.0001,5,256,23.560382625159257,19.693945547481622,23.73733255330723,19.940890189770165,2.6629649000005884
Calendar,1,"[30, 30]",0.001,5,256,21.397151546640647,18.886924815329575,22.069104263004196,19.787926454796875,2.4255145999995875
Calendar,1,"[30, 30]",0.01,5,256,20.48666960702503,18.182810039738147,21.345271964327676,19.138879568781274,2.4580126999999266
Calendar,1,"[30, 30]",0.1,5,256,20.395532748241454,18.177510724249064,21.278975847225695,19.137181494820876,2.410415500000454
Calendar,1,"[30, 30]",1e-05,5,512,53.970640540827496,46.79955550336049,53.313118412942416,45.76610909858582,2.0319752000004883
Calendar,1,"[30, 30]",0.0001,5,512,29.85877858131266,21.455355521755628,29.18647076511041,20.495911577631702,2.2931051000005027
Calendar,1,"[30, 30]",0.001,5,512,21.742673070475572,19.078547042194547,22.358412662549647,19.94926233874126,2.027575500000239
Calendar,1,"[30, 30]",0.01,5,512,20.527421033622907,18.457789778839576,21.440157614422503,19.474089345436017,2.0065593999997873
Calendar,1,"[30, 30]",0.1,5,512,20.480820604680513,17.8022637966774,21.19438410351809,18.599708997556654,2.041576499999792
Calendar,1,"[30, 30]",1e-05,5,1024,54.66209738904757,47.597277100325705,54.01357033601834,46.5788018644414,1.9759801000000152
Calendar,1,"[30, 30]",0.0001,5,1024,43.98165117088942,35.121452013268986,43.215738511936145,33.83608902525071,1.9877235000003566
Calendar,1,"[30, 30]",0.001,5,1024,22.21060477620121,19.185786896626652,22.648044018938283,19.851937497513887,2.2974603999991814
Calendar,1,"[30, 30]",0.01,5,1024,21.923961627964538,19.387630694159878,22.56889338393738,20.28841565587586,1.9852473999999347
Calendar,1,"[30, 30]",0.1,5,1024,20.514705251938814,18.477842152630792,21.457867461320063,19.51620077818756,2.0591134000005695
Calendar,1,"[30, 30]",1e-05,5,2048,54.89471629979036,47.862322022881244,54.24787080908056,46.84976321575375,1.9452824999998484
Calendar,1,"[30, 30]",0.0001,5,2048,50.626156373817395,42.935382752474254,49.92621659492949,41.829643910760836,1.8818804000002274
Calendar,1,"[30, 30]",0.001,5,2048,23.18184478473996,19.47100663805864,23.39960933286617,19.79388278140833,1.8698765999997704
Calendar,1,"[30, 30]",0.01,5,2048,21.932110293707254,19.146426345760087,22.48647815648497,19.967244991569068,1.8694809999997233
Calendar,1,"[30, 30]",0.1,5,2048,21.301174576420024,19.96789076415463,22.590024849127722,21.39453267096431,1.8589231999994809
Calendar,1,"[30, 30]",1e-05,10,256,46.750743947731955,38.3825930660043,46.00830773079443,37.176077125140935,3.5073409000005995
Calendar,1,"[30, 30]",0.0001,10,256,22.47947124900156,19.224812787499168,22.83625258246312,19.768599243608687,3.530360599999767
Calendar,1,"[30, 30]",0.001,10,256,20.46678513870187,17.982704327178908,21.210412593906383,18.826355552045094,3.4960676000000603
Calendar,1,"[30, 30]",0.01,10,256,20.47768994004825,18.26999685851939,21.340651077819988,19.22463840422924,3.4448990999999296
Calendar,1,"[30, 30]",0.1,10,256,20.365501157479397,18.173965231968083,21.239717753590625,19.113063555593403,3.5361040999996476
Calendar,1,"[30, 30]",1e-05,10,512,52.14137786831655,44.693077691208835,51.45999171397243,43.62060370789152,2.8082158999995954
Calendar,1,"[30, 30]",0.0001,10,512,23.746381684783106,19.836922955079274,23.914601172369306,20.06131218352685,2.7906616000000213
Calendar,1,"[30, 30]",0.001,10,512,21.366196396517097,18.69098581320805,21.98617462659497,19.544510957050836,2.8031878000001598
Calendar,1,"[30, 30]",0.01,10,512,20.522382763059362,17.96445676220072,21.24886159528546,18.777087587599134,2.8259446000001844
Calendar,1,"[30, 30]",0.1,10,512,20.488339698407373,18.65582901772534,21.476151613830837,19.7183884031704,2.773011499999484
Calendar,1,"[30, 30]",1e-05,10,1024,53.40656259256477,46.157083214157964,52.73902038511817,45.113429269864476,2.8674989000001005
Calendar,1,"[30, 30]",0.0001,10,1024,32.71597854712936,23.56081314380867,31.96937099699295,22.382739819260994,2.7560358000000633
Calendar,1,"[30, 30]",0.001,10,1024,21.877040772815228,18.916322706467373,22.384397629759203,19.694047772017232,2.654972899999848
Calendar,1,"[30, 30]",0.01,10,1024,20.512786354586098,17.795771692236872,21.197778143936,18.586896863855035,2.7363411000005726
Calendar,1,"[30, 30]",0.1,10,1024,20.46992023318482,17.855045119324718,21.19932632061664,18.680054992261077,2.8103198999997403
Calendar,1,"[30, 30]",1e-05,10,2048,54.19719946803219,47.06373454076896,53.539973104557525,46.03701206878204,2.6738423999995575
Calendar,1,"[30, 30]",0.0001,10,2048,45.629801304328744,37.05788351889233,44.87607071499771,35.819045582777214,3.3300604999994903
Calendar,1,"[30, 30]",0.001,10,2048,22.210179633248504,19.1542335168586,22.638445717876383,19.81189671927094,2.6037373999997726
Calendar,1,"[30, 30]",0.01,10,2048,21.914590912362595,18.900175994992622,22.40953872486224,19.66788898474678,2.726338399999804
Calendar,1,"[30, 30]",0.1,10,2048,20.54462084491509,18.532378534837164,21.490107682641227,19.573707767869543,2.6704217999995308
Calendar,1,"[30, 30]",1e-05,15,256,42.29490453403498,33.16260895691024,41.51607669263965,31.850727312586763,4.552854800000205
Calendar,1,"[30, 30]",0.0001,15,256,22.018469704190036,19.062665449672625,22.492292118614433,19.79129769635226,4.535640500000227
Calendar,1,"[30, 30]",0.001,15,256,20.559967791312694,18.645084711147984,21.531316091213,19.71780473295015,4.545808300000317
Calendar,1,"[30, 30]",0.01,15,256,20.511366414729917,17.75467856439804,21.174731468955162,18.514618688066072,4.770179000000098
Calendar,1,"[30, 30]",0.1,15,256,20.4832095063192,17.88708395695427,21.150579791972618,18.675940970419553,5.056914699999652
Calendar,1,"[30, 30]",1e-05,15,512,49.90042416540706,42.08462289131539,49.19191425441105,40.96237526917279,3.5900676999999632
Calendar,1,"[30, 30]",0.0001,15,512,23.044497398700145,19.52576356797213,23.320444663184578,19.924270084460744,3.5347123000001375
Calendar,1,"[30, 30]",0.001,15,512,20.589614276985785,18.081533934860676,21.287911722606147,18.92050679315424,4.389380399999936
Calendar,1,"[30, 30]",0.01,15,512,20.540343144567586,17.698429315244827,21.206476047219393,18.468654493764706,3.7484976999994615
Calendar,1,"[30, 30]",0.1,15,512,21.100495630119262,17.075961530447888,21.44524983698679,17.544931743004042,3.6732632000002923
Calendar,1,"[30, 30]",1e-05,15,1024,53.376714069430214,46.12068427613932,52.71363310645487,45.07313768517214,3.588967199999388
Calendar,1,"[30, 30]",0.0001,15,1024,24.709020043542058,19.57879544809741,24.556949970844947,19.458898385752082,3.467650099999446
Calendar,1,"[30, 30]",0.001,15,1024,21.700806241023606,19.055398833895794,22.32581109044702,19.9324749979152,3.5137500999999247
Calendar,1,"[30, 30]",0.01,15,1024,20.49572435648382,17.96557630800137,21.272162423633493,18.842830181150028,3.459307600000102
