mode,n_features,max_depth,n_estimators,rmse_percentual_train,mape_train,rmse_percentual_test,mape_test,processing_time
Fourier Ramps,1,3,50,19.4735148015018,16.585769391207485,22.7819312504976,20.723871335279963,0.18042120011523366
Fourier Ramps,1,3,100,19.472479094394078,16.584062257418154,22.80131621894894,20.766658850253616,0.3366022000554949
Fourier Ramps,1,3,200,19.44497404623783,16.55676534161601,23.005039559028702,21.179497593832338,0.6408967999741435
Fourier Ramps,1,3,300,19.45338457678259,16.563713227434178,22.914528009878538,21.003326099202564,0.9505348999518901
Fourier Ramps,1,3,400,19.453356465638105,16.567132167023857,22.92506538685252,21.024317351149115,1.2671274999156594
Fourier Ramps,1,3,500,19.458271159387213,16.570215448812377,22.89140104656204,20.95659795377822,1.523480199975893
Fourier Ramps,1,3,700,19.458325073274917,16.572923188564,22.90483333097299,20.983842893721594,2.1172958000097424
Fourier Ramps,1,3,1000,19.45470253225636,16.56987933611066,22.92670667445821,21.02757018372596,3.0005281001795083
Fourier Ramps,1,6,50,15.23125409966429,12.76180778492471,31.647073758073297,31.90762462895601,0.2531208998989314
Fourier Ramps,1,6,100,15.218240640497658,12.782362270863182,32.165553104434395,32.4766880422813,0.48051160015165806
Fourier Ramps,1,6,200,15.150385483853656,12.731178702770663,32.05637810844104,32.356890044733774,0.9284179999958724
Fourier Ramps,1,6,300,15.009578065758765,12.61168846089212,32.07065777311346,32.372562590781676,1.4101784999947995
Fourier Ramps,1,6,400,14.862929949669487,12.486631680736275,31.87195175425378,32.154430458922704,1.86582009983249
Fourier Ramps,1,6,500,15.070191883072312,12.653441020553066,31.71684387972146,31.984242672207046,2.31161139998585
Fourier Ramps,1,6,700,14.867419654871133,12.49423817861711,31.822121502957287,32.099749520235946,3.311986800050363
Fourier Ramps,1,6,1000,14.975702794033221,12.581824274409428,31.87807937627058,32.16115718537033,4.566388699924573
Fourier Ramps,1,9,50,11.570441627696752,9.798486168542492,27.172245241221134,26.860223512225996,0.3228532001376152
Fourier Ramps,1,9,100,11.569926963523942,9.797793414109961,27.408201528062392,27.136594990900733,0.6341293000150472
