mode,n_features,max_depth,learning_rate,n_estimators,rmse_percentual_train,mape_train,rmse_percentual_test,mape_test,processing_time
Calendar,1,1,1e-05,50,21.931320091545,19.062279693422397,22.48222911473938,19.88249233524243,0.18744530000003579
Calendar,1,1,0.0001,50,21.923412287599888,19.056703566785202,22.474697950059895,19.877194699782123,0.05624740000030215
Calendar,1,1,0.001,50,21.84819286749505,19.003148435788724,22.4029947791063,19.825917961863297,0.050470299999687995
Calendar,1,1,0.01,50,21.364689383591923,18.66848584623106,21.951205014202525,19.49744595975424,0.05312129999992976
Calendar,1,1,0.1,50,20.372505972931158,18.058602714416185,21.143295664777423,18.911164158910974,0.05008989999987534
Calendar,1,1,1e-05,100,21.9304535583263,19.061645452703928,22.481396513982908,19.881882848539657,0.05511590000014621
Calendar,1,1,0.0001,100,21.914724964345595,19.050507643767283,22.466406113208688,19.87128948656084,0.05539950000002136
Calendar,1,1,0.001,100,21.77191432965424,18.949005866463907,22.330530512874585,19.773628494818944,0.059554499999649124
Calendar,1,1,0.01,100,21.06848018269,18.48162491638383,21.690436407639982,19.31543421440783,0.062157899999874644
Calendar,1,1,0.1,100,20.315613978195056,18.018608885393224,21.12955232235882,18.891125802920726,0.06618800000023839
Calendar,1,1,1e-05,200,21.92872167065368,19.060378060818444,22.479732516641814,19.88066387513413,0.07599600000003193
Calendar,1,1,0.0001,200,21.897648721049688,19.038306237105814,22.450100698811536,19.859590329506865,0.07990299999983108
Calendar,1,1,0.001,200,21.639825935273752,18.8561885595384,22.205718744372753,19.68380013504951,0.0680955000002541
Calendar,1,1,0.01,200,20.71399472676711,18.26708754186249,21.39042988792791,19.10404378986843,0.07963029999973514
Calendar,1,1,0.1,200,20.304805212325093,18.011926136231263,21.12307583359488,18.883113331946998,0.07767310000008365
Calendar,1,1,1e-05,300,21.926991354977766,19.05911071111231,22.478070125160276,19.8794449017286,0.08871259999978065
Calendar,1,1,0.0001,300,21.880860202565632,19.026391032209226,22.434100698345013,19.848185049856532,0.07746539999970992
Calendar,1,1,0.001,300,21.53108251097282,18.78111972689893,22.10376896176313,19.61022555122852,0.08291030000009414
Calendar,1,1,0.01,300,20.530845091450754,18.156463862869362,21.246084368670115,18.998316180150375,0.08143310000014026
Calendar,1,1,0.1,300,20.301003241241432,18.00906795903342,21.122282431489324,18.881001723239834,0.0941262999999708
Calendar,1,1,1e-05,400,21.92526261167074,19.057843839259025,22.476409339894616,19.87822592832307,0.09793390000004365
Calendar,1,1,0.0001,400,21.864356136091835,19.014714179101315,22.418401098375885,19.837035799066356,0.10015229999999065
Calendar,1,1,0.001,400,21.441457199624313,18.719948898146054,22.020836787012854,19.54892980167264,0.10236410000015894
Calendar,1,1,0.01,400,20.433408597540822,18.09781398345816,21.177873140710503,18.943100000848652,0.09643720000030953
Calendar,1,1,0.1,400,20.299369858397277,18.007686628864082,21.12193218871331,18.87986708907741,0.09756890000016938
Calendar,1,1,1e-05,500,21.923535441104548,19.056577924335606,22.474750161200916,19.87700857993487,0.10935289999997622
Calendar,1,1,0.0001,500,21.84823923544247,19.003169760544893,22.403035319770012,19.825934920807235,0.12136069999996835
Calendar,1,1,0.001,500,21.366304901243545,18.669603706443286,21.952657045311863,19.498563090880936,0.12299920000032216
Calendar,1,1,0.01,500,20.380876341073872,18.064366435366672,21.147097109206438,18.9154530008086,0.1072494000000006
Calendar,1,1,0.1,500,20.298554724379223,18.00699432755701,21.12164161074131,18.87910288530386,0.10842430000002423
Calendar,1,1,1e-05,700,21.920085819681432,19.054049202709056,22.471436624952485,19.87457906503855,0.13193039999987377
Calendar,1,1,0.0001,700,21.8168257840622,18.980885727933146,22.373175743728424,19.804508236070458,0.1284150999999838
Calendar,1,1,0.001,700,21.234560140072624,18.58558773761412,21.83551754257524,19.416353573950833,0.13877629999979035
Calendar,1,1,0.01,700,20.33552399242837,18.03339856614437,21.127700808420062,18.894787538360063,0.1411736000000019
Calendar,1,1,0.1,700,20.297775408544943,18.006364465439027,21.12159909878912,18.87854116945267,0.13381089999984397
Calendar,1,1,1e-05,1000,21.914923192389317,19.05026688315577,22.466478378757646,19.870941132192844,0.18450299999994968
Calendar,1,1,0.0001,1000,21.771985989639102,18.949059766919373,22.330599457077373,19.773681530427375,0.1670721999998932
Calendar,1,1,0.001,1000,21.070681234968063,18.482918802666976,21.692245741600864,19.316490389656064,0.17206190000024435
