mode,n_features,layers,learning_rate,epochs,batch_size,rmse_percentual_train,mape_train,rmse_percentual_test,mape_test,processing_time
Fourier Ramps,1,"[30, 30]",1e-05,5,256,33.189793461840054,25.4047692237253,26.95377641558572,19.61445460622852,7.475748700089753
Fourier Ramps,1,"[30, 30]",0.0001,5,256,18.770388692633407,15.936330830182152,18.81165791512589,15.95524732072744,6.325535600073636
Fourier Ramps,1,"[30, 30]",0.001,5,256,18.765741307650075,16.055362977819726,18.802782069959328,15.803038901887298,6.535648999968544
Fourier Ramps,1,"[30, 30]",0.01,5,256,18.73810105090958,16.01060285534313,19.085841128589482,15.364068787765516,5.981087000109255
Fourier Ramps,1,"[30, 30]",0.1,5,256,17.568082609241102,14.799947113563212,18.847641235353013,15.565615638115624,5.835138000082225
Fourier Ramps,1,"[30, 30]",1e-05,5,512,41.4054406327777,34.545719121042104,37.70620746444013,30.355158417984217,4.93053080001846
Fourier Ramps,1,"[30, 30]",0.0001,5,512,19.39225111933876,16.369133218101595,21.403603039980183,20.013625635420023,4.314220800064504
Fourier Ramps,1,"[30, 30]",0.001,5,512,18.76349773692009,16.027022093427725,18.80178689616133,15.835949013950696,4.4344524999614805
Fourier Ramps,1,"[30, 30]",0.01,5,512,18.75299900040196,15.872329785870921,19.298765128979458,15.345240348356548,4.223546399967745
Fourier Ramps,1,"[30, 30]",0.1,5,512,17.744902470815678,15.624540359585653,18.958465889220474,16.45706973294217,4.247473000083119
Fourier Ramps,1,"[30, 30]",1e-05,5,1024,43.48507833963599,36.94049153919309,40.155435618090266,33.167610519344535,4.390450099948794
Fourier Ramps,1,"[30, 30]",0.0001,5,1024,20.576746534454696,17.090854289870926,24.955397288169845,24.05323885434279,4.130533299874514
Fourier Ramps,1,"[30, 30]",0.001,5,1024,18.763361596244746,15.979519093939892,18.802418320600808,15.830936452308162,4.124135400168598
Fourier Ramps,1,"[30, 30]",0.01,5,1024,18.756640267755028,15.939157480241631,18.847005440920928,15.602754492067142,4.01430179993622
Fourier Ramps,1,"[30, 30]",0.1,5,1024,17.224978741508743,14.634753973818263,19.466084624388813,15.396982089577325,4.126254100119695
Fourier Ramps,1,"[30, 30]",1e-05,5,2048,45.57277818572613,39.349661875357185,43.09815513194382,36.5663766019067,3.500681299949065
Fourier Ramps,1,"[30, 30]",0.0001,5,2048,28.854313437608734,21.362779945794188,21.33107071683533,15.988960735075297,3.541987899923697
