mode,n_features,max_depth,n_estimators,rmse_percentual_train,mape_train,rmse_percentual_test,mape_test,processing_time
Calendar,1,1,50,16.65170827800443,13.945078874881597,17.212322424551004,15.030172551707022,0.18132620002143085
Calendar,1,1,100,16.65170757690495,13.944595556558218,17.211987145268196,15.029427575950654,0.3301321999169886
Calendar,1,1,200,16.65170773542559,13.944273645904756,17.211860228427845,15.028998086060191,0.6603361000306904
Calendar,1,1,300,16.651707392249705,13.94416766535663,17.211610266239823,15.02871245663896,0.8867295000236481
Calendar,1,1,400,16.65170731966203,13.9441017570538,17.211503275158904,15.028568327352499,1.20916340011172
Calendar,1,1,500,16.65170732355247,13.944106156084418,17.211510092601664,15.02857772342477,1.474119700025767
Calendar,1,1,700,16.651707254870587,13.943944098709762,17.211296618000656,15.028257673507037,2.0151833998970687
Calendar,1,1,1000,16.6517074378082,13.94419299183233,17.211658809153086,15.02877298381528,3.0519185001030564
Calendar,1,2,50,16.272216523238598,13.587859459234739,16.962198279066683,14.737429160213052,0.1902277001645416
Calendar,1,2,100,16.272213442447036,13.587046511746989,16.961866180196168,14.736306901039868,0.33489970001392066
Calendar,1,2,200,16.27221330912876,13.586591341689635,16.961516260209837,14.735611416849606,0.632212599972263
Calendar,1,2,300,16.272212995946067,13.58643274013039,16.96125744731269,14.735278121106827,0.9821107001043856
Calendar,1,2,400,16.272212859755548,13.586424160157867,16.961113739363128,14.735194181817276,1.2595301000401378
Calendar,1,2,500,16.272212904866,13.586488654873502,16.96116579579402,14.735296895727348,1.5658066999167204
Calendar,1,2,700,16.27221282859245,13.586349899943711,16.96100793337734,14.735055039835466,2.3103314000181854
Calendar,1,2,1000,16.272213014508466,13.586613401201575,16.961402589991053,14.735574121960859,3.1022809999994934
Calendar,1,3,50,16.16235386967476,13.495289592074233,16.866551627868425,14.6629880531512,0.18870699987746775
Calendar,1,3,100,16.162311453429876,13.494496532613304,16.866330862096895,14.66206636444517,0.34712829999625683
Calendar,1,3,200,16.162483377633155,13.49414903331781,16.86612773130868,14.66142683916249,0.6948401001282036
Calendar,1,3,300,16.162491935344953,13.493950530179804,16.86582757830143,14.661013657695909,0.9872111000586301
Calendar,1,3,400,16.162494277830962,13.493945458166012,16.865725152851645,14.660965632795131,1.314986600074917
Calendar,1,3,500,16.162495316232512,13.494033586132995,16.865791045419236,14.661096670966206,1.637962199980393
Calendar,1,3,700,16.162519141152504,13.49393866229651,16.86574987278911,14.660979174259618,2.321419100044295
Calendar,1,3,1000,16.16256043904401,13.494238002100403,16.86617955040105,14.661521606867577,3.166826499858871
Calendar,1,6,50,16.038604458688546,13.373791370706389,16.761054412924242,14.564427406089035,0.2209467999637127
Calendar,1,6,100,16.03880909138002,13.373202967180628,16.76067464553046,14.563145863540969,0.3818918999750167
Calendar,1,6,200,16.038882854805426,13.3727053204237,16.760764640520215,14.562633563367006,0.7409505001269281
Calendar,1,6,300,16.039029512200337,13.372574457872984,16.76085705195996,14.5624247469678,1.060061100171879
Calendar,1,6,400,16.039007491245798,13.372583003000168,16.760733269503557,14.56240281664855,1.4313686001114547
Calendar,1,6,500,16.03900297392647,13.372588605207575,16.76068654973466,14.562331584819358,1.797299899859354
Calendar,1,6,700,16.038983632472423,13.372470585797988,16.760594431243927,14.56219521043796,2.4241063999943435
Calendar,1,6,1000,16.038938262080347,13.37264942906076,16.761129249825327,14.562870568437564,3.7831576999742538
Calendar,1,9,50,16.034635019698026,13.372587241736364,16.75531815907649,14.561108371522064,0.23787609999999404
Calendar,1,9,100,16.03462525625976,13.371963227096426,16.75473475072626,14.559862281040562,0.40377909992821515
Calendar,1,9,200,16.03462099646651,13.371331150391413,16.754900044499827,14.559378180960989,0.7351412998978049
Calendar,1,9,300,16.03462109929791,13.371013401859102,16.75492411543898,14.559144539717112,1.2041787998750806
Calendar,1,9,400,16.034620587500832,13.37108166526549,16.754821991655387,14.559174330291668,1.574733099900186
Calendar,1,9,500,16.03462019033261,13.371142032762409,16.754752816312404,14.559105098658803,1.9091900000348687
Calendar,1,9,700,16.034619078118595,13.371099779345851,16.75462150669085,14.558950506587514,2.5435266999993473
Calendar,1,9,1000,16.034618888382152,13.371311611780342,16.75518511123139,14.559599047249108,3.518774000229314
Calendar,1,12,50,16.034635019698026,13.372587241736364,16.75531815907649,14.561108371522064,0.22534210002049804
Calendar,1,12,100,16.034625256259755,13.371963227096426,16.75473475072626,14.559862281040562,0.38265020004473627
Calendar,1,12,200,16.03462088017699,13.371335484013096,16.754894352588664,14.559376094481266,0.7379624000750482
Calendar,1,12,300,16.03462099412368,13.371017676124788,16.754918653345513,14.559142679849204,1.1606239997781813
Calendar,1,12,400,16.034620533436506,13.371083980917675,16.75481921465234,14.559173488957972,1.5790906997863203
Calendar,1,12,500,16.034620163018136,13.371143370881352,16.754751414903833,14.559104773179232,1.9588281998876482
Calendar,1,12,700,16.034619064019733,13.371101409325636,16.75461961863978,14.558949906655542,2.5959248999133706
Calendar,1,12,1000,16.034618893019672,13.37131442490365,16.755181860626717,14.55959801026717,3.7366122000385076
Calendar,1,15,50,16.034635019698026,13.372587241736364,16.755318159076488,14.561108371522064,0.25582109997048974
Calendar,1,15,100,16.03462525625976,13.371963227096426,16.75473475072626,14.559862281040562,0.4243047998752445
Calendar,1,15,200,16.03462088017699,13.3713354840131,16.754894352588664,14.559376094481266,0.7958305000793189
Calendar,1,15,300,16.03462099412368,13.371017676124792,16.754918653345513,14.559142679849204,1.1482559000141919
Calendar,1,15,400,16.034620533436506,13.371083980917675,16.75481921465234,14.559173488957972,1.632602599915117
Calendar,1,15,500,16.034620163018136,13.37114337088135,16.754751414903833,14.559104773179232,1.8231412000022829
Calendar,1,15,700,16.034619064019733,13.37110140932564,16.754619618639776,14.558949906655542,2.550025000004098
Calendar,1,15,1000,16.034618893019672,13.37131442490365,16.755181860626717,14.55959801026717,3.4937990999314934
Calendar,1,20,50,16.034635019698026,13.372587241736362,16.755318159076488,14.56110837152206,0.20771789993159473
Calendar,1,20,100,16.034625256259755,13.371963227096426,16.75473475072626,14.559862281040564,0.3810612999368459
Calendar,1,20,200,16.03462088017699,13.371335484013096,16.754894352588664,14.55937609448127,0.716911000199616
Calendar,1,20,300,16.03462099412368,13.371017676124788,16.754918653345513,14.559142679849204,1.2322610998526216
Calendar,1,20,400,16.034620533436506,13.371083980917678,16.75481921465234,14.559173488957972,1.681592799955979
Calendar,1,20,500,16.034620163018136,13.37114337088135,16.754751414903833,14.559104773179232,1.8037215999793261
Calendar,1,20,700,16.034619064019733,13.371101409325636,16.754619618639776,14.558949906655542,2.477176900021732
Calendar,1,20,1000,16.034618893019672,13.37131442490365,16.755181860626717,14.55959801026717,3.5168296999763697
Calendar,1,30,50,16.034635019698026,13.372587241736364,16.755318159076488,14.56110837152206,0.20566930016502738
Calendar,1,30,100,16.03462525625976,13.371963227096423,16.75473475072626,14.559862281040562,0.3812005000654608
Calendar,1,30,200,16.03462088017699,13.371335484013096,16.754894352588664,14.55937609448127,0.7201909001450986
Calendar,1,30,300,16.03462099412368,13.371017676124788,16.754918653345513,14.559142679849204,1.1189546000678092
Calendar,1,30,400,16.034620533436506,13.371083980917675,16.75481921465234,14.559173488957974,1.4021171000786126
Calendar,1,30,500,16.034620163018136,13.37114337088135,16.754751414903833,14.559104773179232,1.7398888000752777
Calendar,1,30,700,16.034619064019733,13.37110140932564,16.75461961863978,14.558949906655542,2.6043186001479626
Calendar,1,30,1000,16.034618893019672,13.37131442490365,16.755181860626717,14.55959801026717,3.6137270000763237
