mode,n_features,max_depth,learning_rate,n_estimators,rmse_percentual_train,mape_train,rmse_percentual_test,mape_test,processing_time
Calendar,1,1,1e-05,50,18.82479813980982,16.049187485648474,19.21450547169954,17.00476082757691,0.08563730004243553
Calendar,1,1,0.0001,50,18.80643050402899,16.032550502316052,19.19631684098359,16.988820006617445,0.08026379998773336
Calendar,1,1,0.001,50,18.630708237917062,15.873037474103183,19.022250770266574,16.83546125044767,0.07611960009671748
Calendar,1,1,0.01,50,17.477689090631046,14.82163486947421,17.899246349737435,15.803575935359815,0.07572880014777184
Calendar,1,1,0.1,50,16.23323433998027,13.597549072189821,16.886107463802336,14.750310861723607,0.07412260002456605
Calendar,1,1,1e-05,100,18.822746619442494,16.04730584282372,19.21244573936129,17.00292900107704,0.08684920007362962
Calendar,1,1,0.0001,100,18.786229187325688,16.01420055625828,19.176263695425384,16.971187195797956,0.09053730010055006
Calendar,1,1,0.001,100,18.4514438882428,15.710512414198751,18.845323943805163,16.678055519999983,0.08917789999395609
Calendar,1,1,0.01,100,16.937619978935547,14.304686024041944,17.39851628017921,15.313112611028105,0.08792360010556877
Calendar,1,1,0.1,100,16.134654808765504,13.48136238786263,16.834002017785156,14.673243853047538,0.0924579999409616
Calendar,1,1,1e-05,200,18.81864599509821,16.04354354462368,19.20832887686756,16.99926723946031,0.11458669998683035
Calendar,1,1,0.0001,200,18.746302389870504,15.977956296271373,19.136689863272093,16.936421015704656,0.12375780008733273
Calendar,1,1,0.001,200,18.138326767489744,15.426545046833457,18.538131620025233,16.400762014506302,0.11555779981426895
Calendar,1,1,0.01,200,16.564828196946316,13.940601214436384,17.093267789278205,15.006337194665162,0.11469299998134375
Calendar,1,1,0.1,200,16.081388991914153,13.418882213640979,16.80271260767688,14.624247422684919,0.11231979983858764
Calendar,1,1,1e-05,300,18.81454859436308,16.03978415873539,19.204215485810128,16.995608007852706,0.14326200005598366
Calendar,1,1,0.0001,300,18.707098466914903,15.942365447660874,19.097849781208893,16.90223198032206,0.14357320009730756
Calendar,1,1,0.001,300,17.877912393970643,15.189309879296719,18.284886176212265,16.168491578289636,0.1447638999670744
Calendar,1,1,0.01,300,16.386613527489878,13.764005754692455,16.96615070167424,14.867013324540876,0.13651410001330078
Calendar,1,1,0.1,300,16.06162545370921,13.40048848750292,16.781776895493543,14.600949789593706,0.13747910014353693
Calendar,1,1,1e-05,400,18.810454419343667,16.03602752607324,19.20010556842013,16.991950749879187,0.16407409985549748
Calendar,1,1,0.0001,400,18.668616027978853,15.907424164535422,19.05974642359785,16.868619166223077,0.16571339988149703
Calendar,1,1,0.001,400,17.661753817893615,14.991149750004631,18.076196175387572,15.972744606907979,0.18234009994193912
Calendar,1,1,0.01,400,16.29346472807645,13.666372949017072,16.911774906800837,14.79598337429281,0.17930319998413324
Calendar,1,1,0.1,400,16.051386474804023,13.390221060995216,16.7710093496184,14.58755236407701,0.1640012999996543
Calendar,1,1,1e-05,500,18.80636347214669,16.03227352780597,19.19599912692874,16.98829621972439,0.1923257999587804
Calendar,1,1,0.0001,500,18.63079032070537,15.873113535754516,19.022333856851045,16.8355366853039,0.1928705999162048
Calendar,1,1,0.001,500,17.48141709190324,14.82507527792196,17.902872767296103,15.80712039564659,0.1895252000540495
Calendar,1,1,0.01,500,16.24174940610506,13.607086240599592,16.890519375043862,14.756448903931737,0.188548699952662
Calendar,1,1,0.1,500,16.04562035223409,13.384296337794735,16.76498690460103,14.579167079663282,0.20272669987753034
Calendar,1,1,1e-05,700,18.79819126964785,16.024773520426248,19.187796680566528,16.980996913771225,0.248365200124681
Calendar,1,1,0.0001,700,18.557169744920998,15.806352110178324,18.949586176000842,16.771014326901618,0.25333239999599755
Calendar,1,1,0.001,700,17.20541022625502,14.566003775218093,17.64167452754635,15.552759768483265,0.25475510000251234
Calendar,1,1,0.01,700,16.185987689877187,13.541137696912095,16.86248788679249,14.713738326637108,0.24076629988849163
Calendar,1,1,0.1,700,16.0397560529557,13.377777430899899,16.75877602416161,14.569761700130703,0.26781039987690747
Calendar,1,1,1e-05,1000,18.78595722724586,16.013545366819933,19.17551913604292,16.970070690626944,0.319138300139457
Calendar,1,1,0.0001,1000,18.451597014132613,15.710648974990873,18.845472210750188,16.678185841477305,0.34211729979142547
Calendar,1,1,0.001,1000,16.940647802919084,14.307716098598924,17.40109954981973,15.315651731724621,0.32275249995291233
Calendar,1,1,0.01,1000,16.13987199078832,13.487825594053149,16.836525893848982,14.6773017197019,0.3414653998333961
Calendar,1,1,0.1,1000,16.03660106627696,13.374230546540394,16.75552700436442,14.56423531180972,0.3493783001322299
Calendar,1,2,1e-05,50,18.82444262793375,16.048884122595396,19.2142457028734,17.00456418439757,0.07744899997487664
Calendar,1,2,0.0001,50,18.803124436002257,16.029299516150292,19.193453431411896,16.98611711098515,0.07984509994275868
Calendar,1,2,0.001,50,18.598752526676346,15.841890610200801,18.99480940483401,16.809708735839404,0.07635280000977218
Calendar,1,2,0.01,50,17.250538145338513,14.609629601135786,17.714844074961476,15.632080146559579,0.07749049994163215
Calendar,1,2,0.1,50,16.055616578414963,13.395265826006664,16.77612697210003,14.597412783915024,0.07683650008402765
Calendar,1,2,1e-05,100,18.822035701608517,16.046699288697575,19.211926343506025,17.002535787938488,0.09569930005818605
Calendar,1,2,0.0001,100,18.779634499379082,16.007731481797475,19.17056947143388,16.965832905260577,0.10191239998675883
